simulation_number,day,avg_resources,total_thefts,agents_alive,count_PusilanimeAgent,count_ThiefAgent,count_TipForTapAgent,count_TipForTapSecureAgent,count_RandomAgent,count_ABRAgent,count_SearchAgent,count_ResentfulAgent,count_ExploteAgent,avg_resources_PusilanimeAgent,avg_resources_ThiefAgent,avg_resources_TipForTapAgent,avg_resources_TipForTapSecureAgent,avg_resources_RandomAgent,avg_resources_ABRAgent,avg_resources_SearchAgent,avg_resources_ResentfulAgent,avg_resources_ExploteAgent
22,1,372.1,0,50,6,7,5,7,7,3,2,8,5,368.5,394.14285714285717,414.8,342.85714285714283,368.85714285714283,400.0,296.0,371.25,363.4
22,90,1684.0740740740741,1872,81,5,23,5,6,15,5,4,14,4,1005.6,1603.5652173913043,1027.4,1889.8333333333333,1849.2,2014.2,1973.75,1977.5,1158.75
22,180,1731.2272727272727,4081,132,5,20,5,9,16,20,4,49,4,905.6,1091.3,1434.8,2225.5555555555557,2019.5,1708.05,2122.75,1964.061224489796,940.25
22,270,3651.2514285714287,6177,175,5,19,5,13,16,32,4,77,4,2919.2,2315.0,3828.4,4117.2307692307695,4248.0625,3410.4375,4455.0,3895.844155844156,3204.75
22,360,5513.417391304348,8279,230,5,19,5,18,16,47,4,112,4,5687.0,4150.9473684210525,6890.2,5877.555555555556,6784.625,5014.95744680851,7047.75,5584.928571428572,5644.0
22,450,7132.649635036496,10397,274,5,19,5,22,16,59,4,140,4,8216.2,5808.421052631579,9594.0,7522.863636363636,9207.5,6480.745762711865,9534.0,7069.564285714286,7968.25
22,540,7880.945121951219,12448,328,5,19,5,27,16,74,4,174,4,10198.4,6852.421052631579,11647.4,8176.814814814815,10968.625,7174.013513513513,11180.5,7665.350574712644,9970.75
22,630,10524.93817204301,14585,372,5,19,5,31,16,86,4,202,4,14040.0,9537.21052631579,15556.8,10813.806451612903,14547.75,9863.813953488372,14424.0,10181.866336633664,13843.25
22,720,10975.45803357314,16703,417,5,19,5,35,16,98,4,231,4,15933.6,10383.684210526315,17407.4,11251.542857142857,16009.125,10372.857142857143,15762.75,10482.285714285714,15455.5
7,1,468.06,8,50,5,7,8,3,4,6,3,7,7,491.4,527.0,454.75,540.6666666666666,408.25,436.1666666666667,500.3333333333333,441.14285714285717,451.14285714285717
7,90,1934.7553191489362,1671,94,5,26,8,6,8,11,7,15,8,1708.2,1611.5,2011.75,2427.5,1971.25,2242.6363636363635,1905.857142857143,2312.4666666666667,1537.625
7,180,2886.4685314685316,4197,143,5,22,8,6,8,31,7,48,8,2760.8,2555.4545454545455,3323.375,4816.333333333333,3453.625,2706.2580645161293,3616.285714285714,2715.9583333333335,2506.625
7,270,5426.197860962567,6461,187,5,22,8,6,8,50,7,73,8,5833.0,5351.727272727273,6918.75,8641.666666666666,6740.5,4743.56,6898.428571428572,5140.013698630137,5748.0
7,360,6772.93388429752,8735,242,5,22,8,6,8,75,7,103,8,8458.6,7840.090909090909,9614.25,11600.5,9255.125,5726.373333333333,9601.142857142857,6234.621359223301,8108.125
7,450,8363.503571428571,10931,280,5,22,8,6,8,93,7,123,8,11053.4,10505.818181818182,12320.75,14417.666666666666,11935.125,7137.129032258064,12102.42857142857,7641.715447154472,10804.0
7,540,9083.767164179104,13069,335,5,22,8,6,8,122,7,149,8,13196.4,12954.727272727272,14517.25,16843.0,14122.75,7572.3442622950815,14498.0,8273.671140939598,12976.125
7,630,11869.305039787798,15217,377,5,22,8,10,8,145,7,164,8,17026.6,17495.227272727272,18664.75,13239.5,18424.875,10278.779310344828,18590.714285714286,11086.329268292682,17109.0
7,720,13390.081018518518,17455,432,5,22,8,22,8,175,7,177,8,20347.2,21517.045454545456,22077.375,8290.09090909091,21778.375,11665.914285714285,22186.14285714286,13078.717514124293,20550.625
14,1,600.84,6,50,7,5,4,4,6,10,3,5,6,583.7142857142857,655.4,562.25,574.5,590.3333333333334,583.6,640.0,606.0,634.0
14,90,2449.2391304347825,1717,92,6,23,4,5,8,22,7,12,5,1757.1666666666667,2271.1304347826085,2189.0,3042.4,2888.25,2464.181818181818,2753.8571428571427,2755.4166666666665,1784.6
14,180,3524.408163265306,4100,147,6,25,4,5,8,56,7,31,5,2922.8333333333335,3433.6,3622.0,5301.8,4410.0,3288.25,4539.571428571428,3445.1612903225805,3143.0
14,270,6384.937172774869,6688,191,6,25,4,5,8,86,7,45,5,6291.5,7561.68,7192.5,9654.8,8445.25,5665.593023255814,8361.285714285714,5998.844444444445,6481.6
14,360,8088.264227642277,9242,246,6,29,4,5,8,134,7,48,5,9444.166666666666,10764.172413793103,10391.75,13172.2,11992.125,6459.955223880597,11969.42857142857,8764.041666666666,9485.6
14,450,9188.98275862069,12227,290,6,40,4,5,8,166,7,49,5,11396.666666666666,11271.075,12674.25,15377.4,14733.875,7374.210843373494,14791.285714285714,10517.612244897959,11421.2
14,540,10869.585507246376,16882,345,6,76,4,5,8,185,7,49,5,13816.833333333334,9442.552631578947,15726.5,18318.6,18470.0,9636.772972972973,18498.428571428572,13553.265306122448,14162.2
14,630,12119.714652956298,24703,389,6,111,4,5,8,194,7,49,5,15456.0,8955.603603603604,17544.25,20410.8,20996.375,11615.067010309278,20713.714285714286,16541.551020408162,15740.8
14,720,11891.263038548754,34395,441,6,134,4,5,8,222,7,50,5,15818.166666666666,8210.522388059702,17675.5,21426.0,22017.375,11499.243243243243,21869.85714285714,18175.18,16055.4
4,1,451.26,8,50,7,7,4,11,3,4,3,6,5,477.14285714285717,496.14285714285717,485.5,434.6363636363636,396.3333333333333,410.25,350.6666666666667,442.6666666666667,497.8
4,90,1830.0537634408602,1862,93,7,32,4,12,5,9,10,9,5,1276.5714285714287,1715.46875,1705.0,2193.8333333333335,2271.0,1958.888888888889,1597.2,2420.5555555555557,1295.2
4,180,3281.650684931507,5210,146,7,34,4,15,5,28,10,38,5,2308.285714285714,2576.205882352941,3356.5,4545.533333333334,4334.8,3304.5,4050.4,3350.2368421052633,2350.0
4,270,3365.788043478261,8168,184,7,31,4,19,5,42,10,61,5,2380.5714285714284,2311.3548387096776,3953.5,4758.263157894737,4796.0,3251.3333333333335,4347.5,3402.55737704918,2640.2
4,360,5083.564853556485,10948,239,7,31,4,24,5,62,10,91,5,4691.571428571428,4252.0,6602.75,6507.666666666667,7144.2,4613.903225806452,6786.2,4983.021978021978,4924.8
